today's podcast cast our first sponsor is Roka Roka makes eyeglasses and sunglasses that are the absolute highest quality I spent a lifetime working on the biology of the visual system and I can tell you that your visual system has to contend with an enormous number of challenges in order for you to be able to see clearly so for instance when you ,1
go from a very brightly lit area to a dimlet area your visual system has to make all sorts of adjustments that allow you to still see your environment Roca eyeglasses and sunglasses were built with the biology of the visual system in mind so no matter what environment you're in you'll be able to see with perfect clarity and they have terrific ,1
going to be to constrain this walk as it were but I'm hoping that we can touch on a great number of things today the first of which is really about hormones and female hormones in particular and I have a question which is is it ever informative for a woman ,1
regardless of age to know something about her mother's perhaps even her grandmother's experience vis-a-vis hormones not just pregnancy challenges with or um ease with pregnancy and child rearing childbirth this sort of thing but you know what sorts of conversations should ,1
remained mentally sharp until he died in his late 90s but um almost burned down their apartment several times falling asleep with a cigarette in his mouth so I don't recommend anyone Smoke by the way uh but it was uh coffee mate uh red meat and cigarettes and they lived into their 90s so that side of my family has the genetic Advantage the other side ,1
less so um but in any event uh Tango um is a 2023 goal it has been every year um the uh I'm gonna hold you accountable today okay we'll do and there no there will be no YouTube video of me do at least not initially Tim Ferriss actually a phenomenal podcaster as we know is uh he's a badass he's a badass Tango Tango ,1
their menstrual cycle if they had to pick one you know either in the follicular phase and or in the luteal stage of their ovarian menstrual cycle excuse me ovulatory menstrual cycle when would you suggest they do that if they had to pick one so if you forced me to pick one I would say ,1
probably day 21 to 22 for someone in her 20s so we're focused right now in that decade so for most women they've got a menstrual cycle Dave that averages out at 28 days so this is about a week before they start their period for women or more irregular it's harder to do that as women get older and we'll ,1
take a quick break and acknowledge one of our sponsors athletic greens athletic greens now called ag1 is a vitamin mineral probiotic drink that covers all of your foundational nutritional needs I've been taking athletic greens since 2012 so I'm delighted that they're sponsoring the podcast the reason I started taking athletic greens and the ,1
better for prebiotics and um a selective use of polyphenols how would a person in their teens and 20s or any age for that matter know what whether or not they have nutritional deficiencies what is the best way to analyze if one is getting enough magnesium and for that matter what is going to be the best way to test ,1
the microbiome you said stool sample and I'll come right back with the same question I asked about a blood test what time of day when during the month um to establish a baseline so this would be prior to embarking on a you know 97 vegetables or how many years per day 57. well I love the idea that you're telling us if I'm gathering correctly is that ,1
