0,Labels
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
wearing them and where you happen to be you always see through them with Crystal Clarity the aesthetic of Roca eyeglasses and sunglasses is also worth mentioning unlike a lot of performance eyeglasses out there which only come in the kind of cyborg variety Roca eyeglasses and sunglasses come in those varieties but they also come in ,1
varieties that you would feel very comfortable wearing out to dinner or to work or to school really anywhere that you go if you'd like to try Roca eyeglasses you can go to Roka that's roka.com and enter the code huberman to save 20 off on your first order again that's Roca roka.com and enter the code huberman at checkout today's episode is ,1
waking up requires that one to three degree re- increase in body temperature I've been sleeping on an eight-sleep mattress cover for the last six months or so now and I can assert that it is the absolute biggest Game Changer in the quality and duration of my sleep in fact I don't really like traveling as much as I used to because the eight sleep ,1
doesn't go with me and they don't seem to have them yet in airbnbs and hotels so this is also a call to action airbnbs and hotels please put eight sleep mattresses on your beds and I'll be more apt to stay in those hotels and airbnbs with that said if you'd like to try an eight-sleep mattress cover you can go to eightsleep.com huberman check out the ,1
fact that you're a nurse surgeon do for your view of the brain how do you think about and conceptualize the brain yeah the scope of neurosurgery is quite broad uh when I was in medical school I I was drawn to neurosurgery because of a procedure known as deep brain stimulation when I was at Penn as a college student I actually watched my ,1
impulsive sometimes these problems actually melt away and we're trying to help their Tremor but the patients also tell us that their gambling issue has gotten better or their mood has improved and why is that well you know there's probably more than one reason you know you can help somebody's Mood by making ,1
their Tremor go away of course but we see laughter in the clinic sometimes and and why is that and that's because we're stimulating parts of the brain that are not just involved in these motor circuits but they're also involved in what we call a limbic circuit or part of the brain involved in emotion and if we learn how to modulate those areas ,1
used to hide in the back seat of the car in the closet to do it because it provided so much relief and then it eventually passed yes I wasn't medicated they never did anything about it every once in a while now if I'm very fatigued if I've been working a lot I notice it starts to come back I'll do this like kind of grunting and so it's been sort ,1
completely understandable uh I've been leading an Endeavor with a number of collaborators around the country to try to better understand these circuits in the brain uh study them in humans both invasively and non-invasively that would be with an electrode-based surgery sort of like we do at epilepsy to understand ,1
where seizures come from we want to understand better where obsessions come from but we're also working with imaging experts and geneticists to understand OCD at a broader level as well uh I I consider OCD to be a a spectrum disorder in a way uh and I I apologize to those who who might feel that I'm using that term incorrectly I'm using it ,1
patients but tricyclics and ssris can be very helpful and are definitely first line and there's others exposure response prevention is uh probably the most effective option which is kind of like cognitive behavioral therapy but these are different and offered by psychologists and this is a whole field and there's a a field or I should say a ,1
identified portions of the basal ganglia sure caudi putanum type structures in OCD and maybe some differences in boys versus girls so what brain areas are there sex differences in terms of OCD and were one to come into your clinic this you know for this sort of a work of ablations or stimulation uh where would you first ,1
problems and if you think about these problems I mean these are some of the most common conditions in our society today I'd like to take a quick break and acknowledge one of our sponsors athletic greens athletic greens now called ag-1 is a vitamin mineral probiotic drink that covers all of your foundational nutritional needs I've been taking ,1
