0,1,Labels
268.919,the biology of the visual system and I can tell you that your visual system has to contend with an enormous number of challenges in order for you to be able to see clearly so for instance when you go from a very brightly lit area to a dimlet area your visual system has to make all sorts of adjustments that allow you to still see your environment Roca ,1
285.54,eyeglasses and sunglasses were built with the biology of the visual system in mind so no matter what environment you're in you'll be able to see with perfect clarity and they have terrific Aesthetics an enormous number of choices in terms of Aesthetics so unlike a lot of so-called performance eyeglasses out there that only give you the option to ,1
507.479,is really about hormones and female hormones in particular and I have a question which is is it ever informative for a woman regardless of age to know something about her mother's perhaps even her grandmother's experience vis-a-vis ,1
1113.9,I don't recommend anyone Smoke by the way uh but it was uh coffee mate uh red meat and cigarettes and they lived into their 90s so that side of my family has the genetic Advantage the other side less so um but in any event uh Tango um is a 2023 goal it has been every year um the uh I'm gonna hold you accountable ,1
1422.24,ovarian menstrual cycle excuse me ovulatory menstrual cycle when would you suggest they do that if they had to pick one so if you forced me to pick one I would say probably day 21 to 22 for someone in her 20s so we're focused right now in that decade so for most women they've got a ,1
1442.7,menstrual cycle Dave that averages out at 28 days so this is about a week before they start their period for women or more irregular it's harder to do that as women get older and we'll talk about this in a moment usually the cycle gets a little shorter so as they start to decline in their progesterone production their period ,1
1880.58,going back 20 years so he can show you okay here's where I started having my smoothie and here's how my glucose and Insulin changed as a result of that I'd like to take a quick break and acknowledge one of our sponsors athletic greens athletic greens now called ag1 is a vitamin mineral probiotic drink that covers all ,1
1898.58,of your foundational nutritional needs I've been taking athletic greens since 2012 so I'm delighted that they're sponsoring the podcast the reason I started taking athletic greens and the reason I still take athletic greens once are usually twice a day is that it gets to be the probiotics that I need for gut health our gut is very important it's ,1
2135.4,what whether or not they have nutritional deficiencies what is the best way to analyze if one is getting enough magnesium and for that matter what is going to be the best way to test the microbiome you said stool sample and I'll come right back with the same question I asked about a blood test what time of day when during the month ,1
2193.48,been I'm not going to name companies but I've been tracking this over the years and it's never been clear to me that we know what constituents of the gut microbiome are are best we know that dysbiosis is bad yeah and we know that diversity of the microbiome is good we hear this yeah but no one's ever told me that you want a particular ratio of one ,1
